total__N,total__Temperature,total__Treatment,total__Group   #,animal_id,total__Femur BV (mm³),total__Femur Scout View Length (mm),diaphysis_cortical__N,diaphysis_cortical__Temperature,diaphysis_cortical__Treatment,diaphysis_cortical__Group   #,diaphysis_cortical__Femur Cross Sectional Volume (mm3),diaphysis_cortical__Femur Cortical Volume (mm3),diaphysis_cortical__Femur Marrow Volume (mm3),diaphysis_cortical__Femur Cortical Thickness (µm),diaphysis_cortical__Femur pMOI (mm4),metaphysis_cancellous__N,metaphysis_cancellous__Temperature,metaphysis_cancellous__Treatment,metaphysis_cancellous__Group   #,metaphysis_cancellous__Femur BV/TV (%),metaphysis_cancellous__Femur Conn-dens (1/(mm3),metaphysis_cancellous__Femur Tb.N (1/mm),metaphysis_cancellous__Femur Tb.Th (µm),metaphysis_cancellous__Femur Tb.Sp (µm),epiphysis_cancellous__N,epiphysis_cancellous__Temperature,epiphysis_cancellous__Treatment,epiphysis_cancellous__Group   #,epiphysis_cancellous__Femur BV/TV (%),epiphysis_cancellous__Femur Conn-Dens (1/mm³),epiphysis_cancellous__Femur     Tb.N     (1/mm),epiphysis_cancellous__Femur      Tb.Th     (µm),epiphysis_cancellous__Femur     Tb.Sp     (µm),material_type,total__Humerus    BV    (mm³),total__Humerus   Scout View   Length   (mm),diaphysis_cortical__Humerus Cross Sectional Volume (mm³),diaphysis_cortical__Humerus Cortical  Volume (mm³),diaphysis_cortical__Humerus Marrow Volume (mm³),diaphysis_cortical__Humerus Cortical Thickness (µm),diaphysis_cortical__Humerus  pMOI  (mm⁴),metaphysis_cancellous__Humerus BV/TV (%),metaphysis_cancellous__Humerus Conn-Dens. (1/mm³),metaphysis_cancellous__Humerus Tb.N (1/mm),metaphysis_cancellous__Humerus Tb.Th (µm),metaphysis_cancellous__Humerus Tb.Sp (µm),epiphysis_cancellous__Humerus  BV/TV  (%),epiphysis_cancellous__Humerus  Conn-Dens.  (1/mm³),epiphysis_cancellous__Humerus  Tb.N  (1/mm),epiphysis_cancellous__Humerus Tb.Th  (µm),epiphysis_cancellous__Humerus  Tb.Sp  (µm),epiphysis_cancellous__Comments,N,temperature,condition,Group   #,body_weight_g
,32C (90F),Control,4.0,11.0,14.7569,13.7,,32C (90F),Control,4.0,0.3801,0.163,0.2171,168.0,0.27342,,32C (90F),Control,4.0,18.44,268.7804,5.9662,43.0,163.39999999999998,,32C (90F),Control,4.0,31.77,246.3894,7.3435,54.800000000000004,133.0,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,16.7
,32C (90F),HLU,5.0,12.0,12.7831,13.4,,32C (90F),HLU,5.0,0.4098,0.1464,0.26339999999999997,143.0,0.26658,,32C (90F),HLU,5.0,11.959999999999999,160.3915,6.0186,39.1,162.6,,32C (90F),HLU,5.0,25.11,293.5473,7.0688,47.7,142.5,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,17.3
,22C (72F),Baseline,1.0,13.0,13.7986,13.8,,22C (72F),Baseline,1.0,0.4013,0.1559,0.24539999999999998,157.0,0.27563,,22C (72F),Baseline,1.0,11.12,180.3998,5.8847,36.0,171.2,,22C (72F),Baseline,1.0,22.12,284.3696,7.8858,44.6,142.8,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,17.1
,32C (90F),Control,4.0,14.0,13.5157,13.1,,32C (90F),Control,4.0,0.397,0.142,0.255,141.0,0.25662,,32C (90F),Control,4.0,17.560000000000002,325.5753,6.5427,41.2,151.4,,32C (90F),Control,4.0,29.92,286.8043,6.9891,51.8,138.0,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,15.3
,22C (72F),Control,2.0,15.0,14.5312,13.6,,22C (72F),Control,2.0,0.405,0.1499,0.2551,148.0,0.27564,,22C (72F),Control,2.0,13.120000000000001,200.0111,5.7638,37.900000000000006,174.2,,22C (72F),Control,2.0,27.13,280.4431,6.4227,51.0,155.0,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,13.9
,22C (72F),HLU,3.0,16.0,10.4423,13.6,,22C (72F),HLU,3.0,0.3943,0.1247,0.26959999999999995,123.0,0.22104,,22C (72F),HLU,3.0,5.26,47.8983,4.4607,34.6,231.3,,22C (72F),HLU,3.0,19.61,279.564,6.1504,43.2,165.3,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,15.0
,32C (90F),HLU,5.0,17.0,12.9408,13.7,,32C (90F),HLU,5.0,0.4393,0.1504,0.28890000000000005,140.0,0.2999,,32C (90F),HLU,5.0,12.68,170.3016,5.9675,39.300000000000004,163.89999999999998,,32C (90F),HLU,5.0,22.3,295.6084,6.2517,44.2,158.0,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,17.2
,32C (90F),Control,4.0,18.0,13.6826,13.2,,32C (90F),Control,4.0,0.392,0.138,0.254,138.0,0.24484,,32C (90F),Control,4.0,18.63,313.7938,6.7058,39.199999999999996,145.0,,32C (90F),Control,4.0,34.57,307.8842,7.7998,53.699999999999996,132.20000000000002,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,14.0
,22C (72F),HLU,3.0,19.0,9.7201,13.6,,22C (72F),HLU,3.0,0.4356,0.129,0.3066,121.0,0.25413,,22C (72F),HLU,3.0,3.15,25.2561,3.5917,37.8,288.0,,22C (72F),HLU,3.0,14.299999999999999,238.3817,6.162,36.7,162.8,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,17.3
,22C (72F),Control,2.0,20.0,14.6637,13.6,,22C (72F),Control,2.0,0.4111,0.1546,0.25650000000000006,149.0,0.28902,,22C (72F),Control,2.0,9.44,147.562,5.3648,34.1,187.1,,22C (72F),Control,2.0,26.72,272.6019,6.7851,48.7,152.60000000000002,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,14.4
