Mouse #,Total__Femur BV (mm³),Diaphysis Cortical__Femur Cortical Volume (mm3),Diaphysis Cortical__Femur Marrow Volume (mm3),Diaphysis Cortical__Femur pMOI (mm4),Metaphysis Cancellous__Femur BV/TV (%),Metaphysis Cancellous__Femur Tb.Th (µm),Metaphysis Cancellous__Femur Tb.Sp (µm),Epiphysis Cancellous__Femur BV/TV (%),Epiphysis Cancellous__Femur Tb.Th (µm),Epiphysis Cancellous__Femur Tb.Sp (µm),material_type,Total__Humerus BV (mm³),Diaphysis Cortical__Humerus Cortical Volume (mm³),Diaphysis Cortical__Humerus Marrow Volume (mm³),Diaphysis Cortical__Humerus pMOI (mm⁴),Metaphysis Canc__Humerus BV/TV (%),Metaphysis Canc__Humerus Tb.Th (µm),Metaphysis Canc__Humerus Tb.Sp (µm),Epiphysis Canc__Humerus BV/TV (%),Epiphysis Canc__Humerus Tb.Th (µm),Epiphysis Canc__Humerus Tb.Sp (µm),N,Temperature,Treatment,Group #,Body Wt (g)
19.0,,,,,,,,,,,humerus,5.9736,0.0917,0.0943,0.0691,6.01,38.4,179.10000000000002,20.599999999999998,44.900000000000006,182.79999999999998,,22C (72F),HLU,3.0,17.3
20.0,,,,,,,,,,,humerus,7.0177,0.1009,0.0956,0.07932,7.7,35.2,192.0,30.29,49.6,168.1,,22C (72F),Control,2.0,14.4
21.0,,,,,,,,,,,humerus,7.133,0.1006,0.101,0.08129,12.1,34.8,139.6,33.2,52.400000000000006,159.6,,22C (72F),Baseline,1.0,17.0
22.0,,,,,,,,,,,humerus,6.5142,0.1017,0.0941,0.07961,6.550000000000001,35.1,183.7,23.32,46.800000000000004,149.10000000000002,,22C (72F),HLU,3.0,15.9
23.0,,,,,,,,,,,humerus,7.1626,0.1012,0.0883,0.07637,15.120000000000001,39.300000000000004,156.4,32.41,53.0,144.4,,32C (90F),Control,4.0,15.3
24.0,,,,,,,,,,,humerus,6.7657,0.1024,0.0846,0.07511,11.97,40.2,166.8,29.38,52.5,157.1,,32C (90F),HLU,5.0,14.2
25.0,,,,,,,,,,,humerus,6.8476,0.0996,0.08730000000000002,0.07428,6.97,37.0,184.2,23.23,46.699999999999996,176.5,,22C (72F),HLU,3.0,18.0
26.0,,,,,,,,,,,humerus,7.3097,0.102,0.09480000000000001,0.08039,10.93,37.5,171.7,31.47,54.0,157.5,,22C (72F),Control,2.0,17.7
27.0,,,,,,,,,,,humerus,7.5497,0.1012,0.09680000000000001,0.0811,13.669999999999998,36.2,142.9,32.93,51.9,136.7,,22C (72F),Baseline,1.0,16.8
28.0,,,,,,,,,,,humerus,6.7215,0.0962,0.0982,0.07562,7.95,35.4,205.4,24.9,49.4,181.5,,22C (72F),HLU,3.0,16.6
